,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.56020024, -0.82802115, -0.02359373,  0.01454474],
       [ 0.82728775, -0.56069686,  0.03484255,  0.32407683],
       [-0.0420793 ,  0.        ,  0.99911427,  0.08620558],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33911006, -0.94073844,  0.00394346, -0.01787602],
       [ 0.94067484,  0.33913299,  0.01093896,  0.38772064],
       [-0.01162806, -0.        ,  0.99993239,  0.08378477],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33911006, -0.94073844,  0.00394346, -0.01787602],
       [ 0.94067484,  0.33913299,  0.01093896,  0.38772064],
       [-0.01162806, -0.        ,  0.99993239,  0.08378477],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23714108, -0.97145911,  0.00559475,  0.07114834],
       [ 0.97118887,  0.23720707,  0.02291276,  0.33171458],
       [-0.02358592,  0.        ,  0.99972181,  0.08686432],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44681686, -0.89442719,  0.01883333,  0.0841944 ],
       [ 0.89363372, -0.4472136 , -0.03766667,  0.38928126],
       [ 0.04211261, -0.        ,  0.99911287,  0.08394882],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44681686, -0.89442719,  0.01883333,  0.0841944 ],
       [ 0.89363372, -0.4472136 , -0.03766667,  0.38928126],
       [ 0.04211261, -0.        ,  0.99911287,  0.08394882],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.56021498, -0.82800991, -0.02363815,  0.0145422 ],
       [ 0.8272738 , -0.56071347,  0.03490664,  0.32407995],
       [-0.04215728,  0.        ,  0.99911099,  0.08620732],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33943451, -0.94062119,  0.00399777, -0.01788981],
       [ 0.94055596,  0.33945805,  0.01107761,  0.38772488],
       [-0.01177691, -0.        ,  0.99993065,  0.08378951],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33943451, -0.94062119,  0.00399777, -0.01788981],
       [ 0.94055596,  0.33945805,  0.01107761,  0.38772488],
       [-0.01177691, -0.        ,  0.99993065,  0.08378951],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23695811, -0.97150377,  0.00559216,  0.07115704],
       [ 0.97123335,  0.23702409,  0.02292091,  0.33171096],
       [-0.02359323,  0.        ,  0.99972164,  0.08686549],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44685631, -0.89440703,  0.01885498,  0.08419793],
       [ 0.89361189, -0.44725392, -0.0377057 ,  0.3892784 ],
       [ 0.04215721, -0.        ,  0.99911099,  0.0839494 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44685631, -0.89440703,  0.01885498,  0.08419793],
       [ 0.89361189, -0.44725392, -0.0377057 ,  0.3892784 ],
       [ 0.04215721, -0.        ,  0.99911099,  0.0839494 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.56036756, -0.82790365, -0.0237435 ,  0.01454983],
       [ 0.82716147, -0.56087035,  0.0350479 ,  0.32407768],
       [-0.04233331,  0.        ,  0.99910354,  0.08621227],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33935082, -0.94065175,  0.00391285, -0.01788529],
       [ 0.94058923,  0.33937337,  0.01084538,  0.38772944],
       [-0.01152964, -0.        ,  0.99993353,  0.08377864],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33935082, -0.94065175,  0.00391285, -0.01788529],
       [ 0.94058923,  0.33937337,  0.01084538,  0.38772944],
       [-0.01152964, -0.        ,  0.99993353,  0.08377864],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.2369415 , -0.97150773,  0.0056081 ,  0.07115538],
       [ 0.97123572,  0.23700786,  0.0229879 ,  0.33171076],
       [-0.02366209,  0.        ,  0.99972001,  0.08686703],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44698094, -0.89434651,  0.01877095,  0.08420273],
       [ 0.89355893, -0.44737491, -0.03752497,  0.38927942],
       [ 0.04195798, -0.        ,  0.99911938,  0.08395674],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44698094, -0.89434651,  0.01877095,  0.08420273],
       [ 0.89355893, -0.44737491, -0.03752497,  0.38927942],
       [ 0.04195798, -0.        ,  0.99911938,  0.08395674],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.56043965, -0.82785475, -0.02374695,  0.01455   ],
       [ 0.82711259, -0.56094253,  0.03504642,  0.32407996],
       [-0.04233402,  0.        ,  0.99910351,  0.08621328],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33925545, -0.94068623,  0.00389372, -0.01787841],
       [ 0.94062428,  0.33927779,  0.01079579,  0.3877209 ],
       [-0.0114765 , -0.        ,  0.99993414,  0.08377595],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33925545, -0.94068623,  0.00389372, -0.01787841],
       [ 0.94062428,  0.33927779,  0.01079579,  0.3877209 ],
       [-0.0114765 , -0.        ,  0.99993414,  0.08377595],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23706473, -0.97147784,  0.00557896,  0.07115388],
       [ 0.97120894,  0.23713037,  0.02285594,  0.33171045],
       [-0.02352698,  0.        ,  0.9997232 ,  0.086865  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44701651, -0.89432634,  0.0188847 ,  0.08420314],
       [ 0.89352934, -0.44741524, -0.03774811,  0.38928081],
       [ 0.04220843, -0.        ,  0.99910883,  0.08394577],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44701651, -0.89432634,  0.0188847 ,  0.08420314],
       [ 0.89352934, -0.44741524, -0.03774811,  0.38928081],
       [ 0.04220843, -0.        ,  0.99910883,  0.08394577],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.56022075, -0.82800234, -0.02376627,  0.01454642],
       [ 0.82725826, -0.56072464,  0.03509481,  0.32407617],
       [-0.04238492,  0.        ,  0.99910136,  0.08621442],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33939075, -0.94063713,  0.00396344, -0.01788949],
       [ 0.94057299,  0.3394139 ,  0.01098412,  0.38772614],
       [-0.01167732, -0.        ,  0.99993182,  0.08378834],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33939075, -0.94063713,  0.00396344, -0.01788949],
       [ 0.94057299,  0.3394139 ,  0.01098412,  0.38772614],
       [-0.01167732, -0.        ,  0.99993182,  0.08378834],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23703552, -0.9714854 ,  0.00550304,  0.07115447],
       [ 0.9712237 ,  0.23709939,  0.02254804,  0.33171385],
       [-0.02320986,  0.        ,  0.99973061,  0.0868539 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44690119, -0.89438685,  0.01874803,  0.08419864],
       [ 0.89360087, -0.44729427, -0.0374876 ,  0.3892822 ],
       [ 0.0419143 , -0.        ,  0.99912121,  0.08395913],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44690119, -0.89438685,  0.01874803,  0.08419864],
       [ 0.89360087, -0.44729427, -0.0374876 ,  0.3892822 ],
       [ 0.0419143 , -0.        ,  0.99912121,  0.08395913],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.56024946, -0.82798168, -0.02380927,  0.0145453 ],
       [ 0.82723501, -0.56075515,  0.03515552,  0.32407635],
       [-0.04245929,  0.        ,  0.9990982 ,  0.08621809],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33925887, -0.94068492,  0.00391131, -0.01787851],
       [ 0.94062241,  0.33928141,  0.01084442,  0.38772297],
       [-0.01152821, -0.        ,  0.99993355,  0.0837776 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33925887, -0.94068492,  0.00391131, -0.01787851],
       [ 0.94062241,  0.33928141,  0.01084442,  0.38772297],
       [-0.01152821, -0.        ,  0.99993355,  0.0837776 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23708016, -0.97147458,  0.0054899 ,  0.07115157],
       [ 0.97121423,  0.23714371,  0.02248974,  0.33171345],
       [-0.0231501 ,  0.        ,  0.999732  ,  0.08685456],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44716127, -0.89425571,  0.01880234,  0.08421071],
       [ 0.89346621, -0.4475564 , -0.03756866,  0.38928187],
       [ 0.0420111 , -0.        ,  0.99911714,  0.08395505],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44716127, -0.89425571,  0.01880234,  0.08421071],
       [ 0.89346621, -0.4475564 , -0.03756866,  0.38928187],
       [ 0.0420111 , -0.        ,  0.99911714,  0.08395505],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.5602325 , -0.82799109, -0.02388096,  0.01454481],
       [ 0.82723986, -0.56074126,  0.03526266,  0.3240774 ],
       [-0.04258821,  0.        ,  0.99909271,  0.08621998],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.3392071 , -0.94070346,  0.00394339, -0.01787995],
       [ 0.9406399 ,  0.33923002,  0.01093525,  0.38771719],
       [-0.01162454, -0.        ,  0.99993243,  0.08378666],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.3392071 , -0.94070346,  0.00394339, -0.01787995],
       [ 0.9406399 ,  0.33923002,  0.01093525,  0.38771719],
       [-0.01162454, -0.        ,  0.99993243,  0.08378666],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23688356, -0.97152214,  0.00555976,  0.07115555],
       [ 0.97125466,  0.2369488 ,  0.02279577,  0.33170682],
       [-0.02346397,  0.        ,  0.99972468,  0.08685959],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44703948, -0.89431625,  0.0188189 ,  0.08420001],
       [ 0.89352488, -0.44743541, -0.03761448,  0.38927867],
       [ 0.04205949, -0.        ,  0.99911511,  0.08394851],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44703948, -0.89431625,  0.0188189 ,  0.08420001],
       [ 0.89352488, -0.44743541, -0.03761448,  0.38927867],
       [ 0.04205949, -0.        ,  0.99911511,  0.08394851],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.5602325 , -0.82799109, -0.02388096,  0.01454281],
       [ 0.82723986, -0.56074126,  0.03526266,  0.3240784 ],
       [-0.04258821,  0.        ,  0.99909271,  0.08622298],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33894689, -0.94079767,  0.0038399 , -0.0178661 ],
       [ 0.94073731,  0.33896864,  0.01065752,  0.38771591],
       [-0.01132817, -0.        ,  0.99993583,  0.08377024],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33894689, -0.94079767,  0.0038399 , -0.0178661 ],
       [ 0.94073731,  0.33896864,  0.01065752,  0.38771591],
       [-0.01132817, -0.        ,  0.99993583,  0.08377024],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.2368976 , -0.97151854,  0.00559082,  0.07115527],
       [ 0.9712481 ,  0.23696356,  0.02292161,  0.33170909],
       [-0.02359359,  0.        ,  0.99972163,  0.0868645 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44701828, -0.89432632,  0.01884395,  0.08419919],
       [ 0.89353276, -0.44741528, -0.03766666,  0.3892807 ],
       [ 0.04211735, -0.        ,  0.99911267,  0.08394867],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44701828, -0.89432632,  0.01884395,  0.08419919],
       [ 0.89353276, -0.44741528, -0.03766666,  0.3892807 ],
       [ 0.04211735, -0.        ,  0.99911267,  0.08394867],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.56022039, -0.82800142, -0.0238068 ,  0.01454442],
       [ 0.8272548 , -0.560726  ,  0.03515453,  0.32407723],
       [-0.04245709,  0.        ,  0.99909829,  0.08621404],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33959963, -0.94056187,  0.00393209, -0.0178988 ],
       [ 0.94049883,  0.33962239,  0.01088966,  0.38772844],
       [-0.01157783, -0.        ,  0.99993297,  0.08378217],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33959963, -0.94056187,  0.00393209, -0.0178988 ],
       [ 0.94049883,  0.33962239,  0.01088966,  0.38772844],
       [-0.01157783, -0.        ,  0.99993297,  0.08378217],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23691448, -0.97151494,  0.0055004 ,  0.07115892],
       [ 0.97125321,  0.23697833,  0.02254941,  0.33171011],
       [-0.02321057,  0.        ,  0.9997306 ,  0.08685192],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44705865, -0.89430616,  0.0188431 ,  0.08420176],
       [ 0.89351283, -0.44745558, -0.03766072,  0.38927778],
       [ 0.04211167, -0.        ,  0.99911291,  0.08394585],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44705865, -0.89430616,  0.0188431 ,  0.08420176],
       [ 0.89351283, -0.44745558, -0.03766072,  0.38927778],
       [ 0.04211167, -0.        ,  0.99911291,  0.08394585],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.56034797, -0.82791399, -0.02384487,  0.01455027],
       [ 0.82716541, -0.56085508,  0.03519894,  0.32407577],
       [-0.04251521,  0.        ,  0.99909582,  0.08621534],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33930646, -0.94066768,  0.00392935, -0.01788395],
       [ 0.94060461,  0.33932921,  0.01089269,  0.38772075],
       [-0.01157974, -0.        ,  0.99993295,  0.08378124],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33930646, -0.94066768,  0.00392935, -0.01788395],
       [ 0.94060461,  0.33932921,  0.01089269,  0.38772075],
       [-0.01157974, -0.        ,  0.99993295,  0.08378124],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.2370031 , -0.97149296,  0.00556387,  0.07116013],
       [ 0.97122537,  0.2370684 ,  0.02280042,  0.33170853],
       [-0.02346946,  0.        ,  0.99972455,  0.08686172],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44697905, -0.89434651,  0.01881594,  0.08419767],
       [ 0.89355515, -0.44737491, -0.03761491,  0.38926954],
       [ 0.04205854, -0.        ,  0.99911515,  0.08394654],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44697905, -0.89434651,  0.01881594,  0.08419767],
       [ 0.89355515, -0.44737491, -0.03761491,  0.38926954],
       [ 0.04205854, -0.        ,  0.99911515,  0.08394654],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
10,"[array([[-0.56025243, -0.82798168, -0.02373906,  0.01454736],
       [ 0.82723941, -0.56075515,  0.03505185,  0.32407925],
       [-0.04233409,  0.        ,  0.99910351,  0.08620928],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33933871, -0.94065619,  0.00389621, -0.01787792],
       [ 0.94059419,  0.33936108,  0.01079968,  0.38772523],
       [-0.01148101, -0.        ,  0.99993409,  0.0837721 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33933871, -0.94065619,  0.00389621, -0.01787792],
       [ 0.94059419,  0.33936108,  0.01079968,  0.38772523],
       [-0.01148101, -0.        ,  0.99993409,  0.0837721 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23721561, -0.97144073,  0.00562719,  0.07115383],
       [ 0.97116752,  0.23728235,  0.02303786,  0.33171073],
       [-0.02371515,  0.        ,  0.99971876,  0.08686622],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44697986, -0.8943465 ,  0.01879767,  0.0841987 ],
       [ 0.89355667, -0.44737495, -0.0375784 ,  0.38927749],
       [ 0.04201772, -0.        ,  0.99911687,  0.08393984],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44697986, -0.8943465 ,  0.01879767,  0.0841987 ],
       [ 0.89355667, -0.44737495, -0.0375784 ,  0.38927749],
       [ 0.04201772, -0.        ,  0.99911687,  0.08393984],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
11,"[array([[-0.55998712, -0.82815744, -0.02386806,  0.01453742],
       [ 0.82740621, -0.56049555,  0.03526614,  0.32408046],
       [-0.04258386,  0.        ,  0.9990929 ,  0.08621788],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33927137, -0.94068048,  0.00389409, -0.01787189],
       [ 0.94061853,  0.33929372,  0.01079623,  0.38772415],
       [-0.01147704, -0.        ,  0.99993414,  0.08377097],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33927137, -0.94068048,  0.00389409, -0.01787189],
       [ 0.94061853,  0.33929372,  0.01079623,  0.38772415],
       [-0.01147704, -0.        ,  0.99993414,  0.08377097],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23698875, -0.97149621,  0.0056073 ,  0.07115942],
       [ 0.97122439,  0.23705508,  0.02297977,  0.33171344],
       [-0.023654  ,  0.        ,  0.9997202 ,  0.08685985],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44712192, -0.89427588,  0.01877856,  0.08420318],
       [ 0.89348822, -0.44751608, -0.03752539,  0.38928173],
       [ 0.04196176, -0.        ,  0.99911922,  0.08393562],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44712192, -0.89427588,  0.01877856,  0.08420318],
       [ 0.89348822, -0.44751608, -0.03752539,  0.38928173],
       [ 0.04196176, -0.        ,  0.99911922,  0.08393562],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
12,"[array([[-0.56034146, -0.82792339, -0.02367081,  0.01454402],
       [ 0.82718566, -0.56084121,  0.03494326,  0.32407647],
       [-0.04220591,  0.        ,  0.99910893,  0.08621141],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33930586, -0.94066768,  0.00398015, -0.01788893],
       [ 0.94060297,  0.33932921,  0.01103353,  0.38772781],
       [-0.01172946, -0.        ,  0.99993121,  0.083787  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33930586, -0.94066768,  0.00398015, -0.01788893],
       [ 0.94060297,  0.33932921,  0.01103353,  0.38772781],
       [-0.01172946, -0.        ,  0.99993121,  0.083787  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23674373, -0.97155562,  0.00566407,  0.07115838],
       [ 0.97127768,  0.23681147,  0.02323771,  0.33171208],
       [-0.02391804,  0.        ,  0.99971392,  0.08686976],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44718235, -0.89424561,  0.01878152,  0.08419252],
       [ 0.89345793, -0.44757658, -0.03752496,  0.38928286],
       [ 0.0419627 , -0.        ,  0.99911918,  0.08394359],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44718235, -0.89424561,  0.01878152,  0.08419252],
       [ 0.89345793, -0.44757658, -0.03752496,  0.38928286],
       [ 0.0419627 , -0.        ,  0.99911918,  0.08394359],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
13,"[array([[-0.56049957, -0.8278162 , -0.02367622,  0.01454578],
       [ 0.82707864, -0.56099941,  0.03493686,  0.32406607],
       [-0.04220365,  0.        ,  0.99910903,  0.08621236],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33902133, -0.94077028,  0.0039764 , -0.01789234],
       [ 0.94070558,  0.33904465,  0.01103359,  0.38770626],
       [-0.01172825, -0.        ,  0.99993122,  0.08378796],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33902133, -0.94077028,  0.0039764 , -0.01789234],
       [ 0.94070558,  0.33904465,  0.01103359,  0.38770626],
       [-0.01172825, -0.        ,  0.99993122,  0.08378796],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23638122, -0.97164411,  0.00562558,  0.07115872],
       [ 0.97136906,  0.23644815,  0.02311739,  0.33170481],
       [-0.02379203,  0.        ,  0.99971693,  0.08686194],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44719864, -0.89423548,  0.01887538,  0.08416818],
       [ 0.89344   , -0.44759681, -0.03771035,  0.38928015],
       [ 0.04217049, -0.        ,  0.99911043,  0.08393198],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44719864, -0.89423548,  0.01887538,  0.08416818],
       [ 0.89344   , -0.44759681, -0.03771035,  0.38928015],
       [ 0.04217049, -0.        ,  0.99911043,  0.08393198],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
14,"[array([[-0.56181732, -0.82690084, -0.02441938,  0.01846471],
       [ 0.82612085, -0.56234776,  0.03590733,  0.31789719],
       [-0.04342398,  0.        ,  0.99905673,  0.0862877 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33994345, -0.94043735,  0.00400447, -0.01403117],
       [ 0.94037211,  0.33996703,  0.0110774 ,  0.38155902],
       [-0.01177898, -0.        ,  0.99993063,  0.08381357],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33994345, -0.94043735,  0.00400447, -0.01403117],
       [ 0.94037211,  0.33996703,  0.0110774 ,  0.38155902],
       [-0.01177898, -0.        ,  0.99993063,  0.08381357],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23647582, -0.97162451,  0.0049992 ,  0.07502877],
       [ 0.97140747,  0.23652866,  0.02053597,  0.32547366],
       [-0.02113571,  0.        ,  0.99977662,  0.08679244],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44650631, -0.89458825,  0.01854668,  0.08803931],
       [ 0.89381751, -0.44689134, -0.03712679,  0.38301085],
       [ 0.04150154, -0.        ,  0.99913844,  0.08396725],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44650631, -0.89458825,  0.01854668,  0.08803931],
       [ 0.89381751, -0.44689134, -0.03712679,  0.38301085],
       [ 0.04150154, -0.        ,  0.99913844,  0.08396725],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
15,"[array([[-0.55932874, -0.82856535, -0.02511634,  0.03355003],
       [ 0.82773124, -0.55989237,  0.0371688 ,  0.30976304],
       [-0.04485923,  0.        ,  0.99899332,  0.08642585],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34249746, -0.93951053,  0.00392977,  0.00128878],
       [ 0.9394487 ,  0.34252001,  0.01077911,  0.37351287],
       [-0.01147312, -0.        ,  0.99993418,  0.08390385],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34249746, -0.93951053,  0.00392977,  0.00128878],
       [ 0.9394487 ,  0.34252001,  0.01077911,  0.37351287],
       [-0.01147312, -0.        ,  0.99993418,  0.08390385],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.24183965, -0.97030487,  0.00469472,  0.09008334],
       [ 0.9701221 ,  0.24188521,  0.01883252,  0.317172  ],
       [-0.01940887,  0.        ,  0.99981163,  0.08686476],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44278151, -0.89643482,  0.01868538,  0.10328147],
       [ 0.89563768, -0.4431756 , -0.03779591,  0.37464506],
       [ 0.04216247, -0.        ,  0.99911077,  0.08405723],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44278151, -0.89643482,  0.01868538,  0.10328147],
       [ 0.89563768, -0.4431756 , -0.03779591,  0.37464506],
       [ 0.04216247, -0.        ,  0.99911077,  0.08405723],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
16,"[array([[-0.55708816, -0.83005369, -0.02576156,  0.06064291],
       [ 0.8291676 , -0.55768349,  0.0383434 ,  0.304116  ],
       [-0.04619388,  0.        ,  0.99893249,  0.08665774],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.35139832, -0.93622131,  0.00297854,  0.02835554],
       [ 0.93618768,  0.35141094,  0.00793536,  0.36830258],
       [-0.00847594, -0.        ,  0.99996408,  0.08397753],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.35139832, -0.93622131,  0.00297854,  0.02835554],
       [ 0.93618768,  0.35141094,  0.00793536,  0.36830258],
       [-0.00847594, -0.        ,  0.99996408,  0.08397753],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.22441486, -0.97447218,  0.00647538,  0.11759967],
       [ 0.97406677,  0.22450827,  0.02810621,  0.31097342],
       [-0.0288425 ,  0.        ,  0.99958397,  0.08727507],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44075655, -0.89743043,  0.018769  ,  0.13060839],
       [ 0.89661786, -0.441156  , -0.03818121,  0.36870566],
       [ 0.04254504, -0.        ,  0.99909455,  0.08423407],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.44075655, -0.89743043,  0.018769  ,  0.13060839],
       [ 0.89661786, -0.441156  , -0.03818121,  0.36870566],
       [ 0.04254504, -0.        ,  0.99909455,  0.08423407],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
17,"[array([[-0.51371263, -0.85754322, -0.02681322,  0.09051261],
       [ 0.8563775 , -0.51441192,  0.0446986 ,  0.30693871],
       [-0.05212403,  0.        ,  0.99864062,  0.08700158],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.40584619, -0.91392543,  0.00540185,  0.06156443],
       [ 0.91384448,  0.40588214,  0.01216334,  0.37282522],
       [-0.0133089 , -0.        ,  0.99991143,  0.08450522],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.40584619, -0.91392543,  0.00540185,  0.06156443],
       [ 0.91384448,  0.40588214,  0.01216334,  0.37282522],
       [-0.0133089 , -0.        ,  0.99991143,  0.08450522],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.29620931, -0.95509862,  0.00683153,  0.14729741],
       [ 0.95484471,  0.29628808,  0.02202176,  0.31088904],
       [-0.02305706,  0.        ,  0.99973415,  0.08739348],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.39596856, -0.91814072,  0.01505029,  0.16414837],
       [ 0.91747824, -0.39625448, -0.03487225,  0.36767469],
       [ 0.03798138, -0.        ,  0.99927845,  0.08473219],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.39596856, -0.91814072,  0.01505029,  0.16414837],
       [ 0.91747824, -0.39625448, -0.03487225,  0.36767469],
       [ 0.03798138, -0.        ,  0.99927845,  0.08473219],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
