,time
0,0.7416670000000001
1,0.9500000000000002
2,1.1583330000000003
3,1.366667
4,1.5750000000000002
5,1.7833330000000003
6,1.9916670000000005
7,2.2
8,2.408333
9,2.6166670000000005
10,2.825
11,3.033333
12,3.2416670000000005
13,3.45
14,3.658333
15,3.8666670000000005
16,4.075
17,4.283333
18,4.4916670000000005
19,4.7
20,4.908333
21,5.1166670000000005
22,5.325
23,5.533333
24,5.7416670000000005
25,5.95
26,6.158333
27,6.3666670000000005
28,6.575
29,6.783333
30,6.9916670000000005
31,7.2
32,7.408333
33,7.6166670000000005
34,7.825
35,8.033332999999999
36,8.241667
37,8.45
38,8.658332999999999
39,8.866667
40,9.075
41,9.283332999999999
42,9.491667
43,9.7
44,9.908332999999999
45,10.116667
46,10.325
47,10.533332999999999
48,10.741667
49,10.95
50,11.158332999999999
51,11.366667
52,11.575
53,11.783332999999999
54,11.991667
55,12.2
56,12.408332999999999
57,12.616667
58,12.825
59,13.033332999999999
60,13.241667
61,13.45
62,13.658332999999999
63,13.866667
64,14.075
65,14.283332999999999
66,14.491667
67,14.7
68,14.908332999999999
69,15.116667
70,15.325
71,15.533332999999999
72,15.741667
73,15.95
74,16.158333
75,16.366667
76,16.575
77,16.783333
78,16.991667
79,17.2
80,17.408333
81,17.616667
82,17.825
83,18.033333
84,18.241667
85,18.45
86,18.658333
87,18.866667
88,19.075
89,19.283333
90,19.491667
91,19.7
92,19.908333
93,20.116667
94,20.325
95,20.533333
96,20.741667
97,20.95
98,21.158333
99,21.366667
100,21.575
101,21.783333
102,21.991667
103,22.2
104,22.408333
105,22.616667
106,22.825
107,23.033333
108,23.241667
109,23.45
110,23.658333
111,23.866667
112,24.075
113,24.283333
114,24.491667
115,24.7
116,24.908333
117,25.116667
118,25.325
119,25.533333
120,25.741667
121,25.95
122,26.158333
123,26.366667
124,26.575
125,26.783333
126,26.991667
127,27.2
128,27.408333
129,27.616667
130,27.825
131,28.033333
132,28.241667
133,28.45
134,28.658333
135,28.866667
136,29.075
137,29.283333
138,29.491667
139,29.7
140,29.908333000000002
141,30.116666999999996
142,30.325
143,30.533333000000002
144,30.741666999999996
145,30.95
146,31.158333000000002
147,31.366666999999996
148,31.575
149,31.783333000000002
150,31.991666999999996
151,32.2
152,32.408333000000006
153,32.616667
154,32.825
155,33.033333000000006
156,33.241667
157,33.45
158,33.658333000000006
159,33.866667
160,34.075
161,34.283333000000006
162,34.491667
163,34.7
164,34.908333000000006
165,35.116667
166,35.325
167,35.533333000000006
168,35.741667
169,35.95
170,36.158333000000006
171,36.366667
172,36.575
173,36.783333000000006
174,36.991667
175,37.2
176,37.408333000000006
177,37.616667
178,37.825
179,38.033333000000006
180,38.241667
181,38.45
182,38.658333000000006
183,38.866667
184,39.075
185,39.283333000000006
186,39.491667
187,39.7
188,39.908333000000006
189,40.116667
190,40.325
191,40.533333000000006
192,40.741667
193,40.95
194,41.158333000000006
195,41.366667
196,41.575
197,41.783333000000006
198,41.991667
199,42.2
200,42.408333000000006
201,42.616667
202,42.825
203,43.033333000000006
204,43.241667
205,43.45
206,43.658333000000006
207,43.866667
208,44.075
209,44.283333000000006
210,44.491667
211,44.7
212,44.908333000000006
213,45.116667
214,45.325
215,45.533333000000006
216,45.741667
217,45.95
218,46.158333000000006
219,46.366667
220,46.575
221,46.783333000000006
222,46.991667
223,47.2
224,47.408333000000006
225,47.616667
226,47.825
227,48.033333000000006
228,48.241667
229,48.45
230,48.658333000000006
231,48.866667
232,49.075
233,49.283333000000006
234,49.491667
235,49.7
236,49.908333000000006
237,50.116667
238,50.325
239,50.533333000000006
240,50.741667
241,50.95
242,51.158333000000006
243,51.366667
244,51.575
245,51.783333000000006
246,51.991667
247,52.2
248,52.408333000000006
249,52.616667
250,52.825
251,53.033333000000006
252,53.241667
253,53.45
254,53.658333000000006
255,53.866667
256,54.075
257,54.283333000000006
258,54.491667
259,54.7
260,54.908333000000006
261,55.116667
262,55.325
263,55.533333000000006
264,55.741667
265,55.95
266,56.158333000000006
267,56.366667
268,56.575
269,56.783333000000006
270,56.991667
271,57.2
272,57.408333000000006
273,57.616667
274,57.825
275,58.033333000000006
276,58.241667
277,58.45
278,58.658333000000006
279,58.866667
