,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.7508941 , -0.65960654, -0.03282158, -0.11393   ],
       [ 0.65897733, -0.75161107,  0.0288039 ,  0.26788933],
       [-0.04366831,  0.        ,  0.99904608,  0.08502717],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56103515, -0.82775721,  0.00758697, -0.15829883],
       [ 0.82768153,  0.56108645,  0.01119287,  0.32335562],
       [-0.01352193, -0.        ,  0.99990857,  0.082673  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56103515, -0.82775721,  0.00758697, -0.15829883],
       [ 0.82768153,  0.56108645,  0.01119287,  0.32335562],
       [-0.01352193, -0.        ,  0.99990857,  0.082673  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52336556, -0.85205341, -0.00966834, -0.05744236],
       [ 0.85190806,  0.52345485, -0.01573763,  0.28133792],
       [ 0.01847024,  0.        ,  0.99982941,  0.08583227],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68972743, -0.72405882,  0.00385841, -0.02708648],
       [ 0.7240475 , -0.68973822, -0.0040504 ,  0.32432439],
       [ 0.00559402, -0.        ,  0.99998435,  0.08560411],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68972743, -0.72405882,  0.00385841, -0.02708648],
       [ 0.7240475 , -0.68973822, -0.0040504 ,  0.32432439],
       [ 0.00559402, -0.        ,  0.99998435,  0.08560411],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.75244354, -0.65773308, -0.03486996, -0.11387198],
       [ 0.65702794, -0.75325108,  0.03044818,  0.26791634],
       [-0.04629261,  0.        ,  0.99892792,  0.08508295],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56111074, -0.82770496,  0.00769626, -0.15830199],
       [ 0.82762712,  0.56116352,  0.01135183,  0.32335669],
       [-0.01371482, -0.        ,  0.99990595,  0.08267713],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56111074, -0.82770496,  0.00769626, -0.15830199],
       [ 0.82762712,  0.56116352,  0.01135183,  0.32335669],
       [-0.01371482, -0.        ,  0.99990595,  0.08267713],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52289502, -0.85238347, -0.00481845, -0.05744775],
       [ 0.85234728,  0.52291722, -0.00785434,  0.28128831],
       [ 0.00921457,  0.        ,  0.99995754,  0.08618659],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68962356, -0.72415831,  0.00375382, -0.02709415],
       [ 0.72414758, -0.68963378, -0.00394174,  0.32432364],
       [ 0.0054432 , -0.        ,  0.99998519,  0.08560891],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68962356, -0.72415831,  0.00375382, -0.02709415],
       [ 0.72414758, -0.68963378, -0.00394174,  0.32432364],
       [ 0.0054432 , -0.        ,  0.99998519,  0.08560891],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.75106534, -0.65942474, -0.03255569, -0.11392209],
       [ 0.65880612, -0.75177059,  0.02855662,  0.26789635],
       [-0.04330535,  0.        ,  0.99906188,  0.08501304],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56126112, -0.82760243,  0.00775709, -0.15830731],
       [ 0.8275234 ,  0.56131472,  0.01143705,  0.32336667],
       [-0.0138195 , -0.        ,  0.99990451,  0.08268046],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56126112, -0.82760243,  0.00775709, -0.15830731],
       [ 0.8275234 ,  0.56131472,  0.01143705,  0.32336667],
       [-0.0138195 , -0.        ,  0.99990451,  0.08268046],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52296139, -0.85234256, -0.00485328, -0.05745088],
       [ 0.85230585,  0.52298391, -0.00790972,  0.28128983],
       [ 0.00927998,  0.        ,  0.99995694,  0.08618613],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.6895211 , -0.72425658,  0.00361424, -0.02710076],
       [ 0.72424663, -0.68953057, -0.00379626,  0.32432191],
       [ 0.00524159, -0.        ,  0.99998626,  0.08561732],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.6895211 , -0.72425658,  0.00361424, -0.02710076],
       [ 0.72424663, -0.68953057, -0.00379626,  0.32432191],
       [ 0.00524159, -0.        ,  0.99998626,  0.08561732],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.75109065, -0.6593936 , -0.03260243, -0.11392317],
       [ 0.65877328, -0.7517979 ,  0.02859523,  0.26789678],
       [-0.04336595,  0.        ,  0.99905925,  0.0850174 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56118176, -0.82765704,  0.00767157, -0.15830504],
       [ 0.82757972,  0.56123419,  0.01131333,  0.32336152],
       [-0.01366911, -0.        ,  0.99990657,  0.08267968],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56118176, -0.82765704,  0.00767157, -0.15830504],
       [ 0.82757972,  0.56123419,  0.01131333,  0.32336152],
       [-0.01366911, -0.        ,  0.99990657,  0.08267968],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52318525, -0.85217221, -0.00892812, -0.05744538],
       [ 0.85204816,  0.52326142, -0.01454015,  0.28132107],
       [ 0.01706245,  0.        ,  0.99985443,  0.0858918 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.6895544 , -0.72422539,  0.00350878, -0.02709327],
       [ 0.72421601, -0.68956333, -0.00368515,  0.32431844],
       [ 0.0050884 , -0.        ,  0.99998705,  0.08563019],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.6895544 , -0.72422539,  0.00350878, -0.02709327],
       [ 0.72421601, -0.68956333, -0.00368515,  0.32431844],
       [ 0.0050884 , -0.        ,  0.99998705,  0.08563019],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.75258909, -0.65773915, -0.0314463 , -0.11386879],
       [ 0.65716572, -0.75324579,  0.02745911,  0.26791632],
       [-0.04174773,  0.        ,  0.99912818,  0.08498115],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56104692, -0.82774896,  0.00761597, -0.15829916],
       [ 0.82767271,  0.56109861,  0.0112353 ,  0.32335995],
       [-0.01357331, -0.        ,  0.99990788,  0.08267463],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56104692, -0.82774896,  0.00761597, -0.15829916],
       [ 0.82767271,  0.56109861,  0.0112353 ,  0.32335995],
       [-0.01357331, -0.        ,  0.99990788,  0.08267463],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52300645, -0.85228953, -0.00817411, -0.05746641],
       [ 0.85218545,  0.52307032, -0.01331888,  0.2812773 ],
       [ 0.01562718,  0.        ,  0.99987789,  0.08594095],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68972786, -0.72406002,  0.00354582, -0.02708748],
       [ 0.72405045, -0.68973697, -0.00372227,  0.32432731],
       [ 0.00514083, -0.        ,  0.99998679,  0.08562752],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68972786, -0.72406002,  0.00354582, -0.02708748],
       [ 0.72405045, -0.68973697, -0.00372227,  0.32432731],
       [ 0.00514083, -0.        ,  0.99998679,  0.08562752],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.75086924, -0.65943595, -0.03660073, -0.11392361],
       [ 0.65865392, -0.75176076,  0.03210574,  0.26789387],
       [-0.04868667,  0.        ,  0.9988141 ,  0.08513758],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56120493, -0.82764133,  0.0076722 , -0.1583007 ],
       [ 0.827564  ,  0.56125737,  0.01131359,  0.32335812],
       [-0.01366967, -0.        ,  0.99990657,  0.0826757 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56120493, -0.82764133,  0.0076722 , -0.1583007 ],
       [ 0.827564  ,  0.56125737,  0.01131359,  0.32335812],
       [-0.01366967, -0.        ,  0.99990657,  0.0826757 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52253795, -0.85256016, -0.00976045, -0.05738232],
       [ 0.85241147,  0.5226291 , -0.01592214,  0.28136932],
       [ 0.01867568,  0.        ,  0.99982559,  0.08582566],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68946365, -0.72431055,  0.003754  , -0.02709933],
       [ 0.72429982, -0.68947387, -0.00394367,  0.324318  ],
       [ 0.00544473, -0.        ,  0.99998518,  0.08561586],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68946365, -0.72431055,  0.003754  , -0.02709933],
       [ 0.72429982, -0.68947387, -0.00394367,  0.324318  ],
       [ 0.00544473, -0.        ,  0.99998518,  0.08561586],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.75090435, -0.65960654, -0.03258624, -0.11392577],
       [ 0.65898633, -0.75161107,  0.02859737,  0.26788613],
       [-0.04335519,  0.        ,  0.99905972,  0.08501616],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56121671, -0.82763307,  0.00770122, -0.15830204],
       [ 0.82755515,  0.56126955,  0.01135601,  0.32335746],
       [-0.01372107, -0.        ,  0.99990586,  0.08267833],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56121671, -0.82763307,  0.00770122, -0.15830204],
       [ 0.82755515,  0.56126955,  0.01135601,  0.32335746],
       [-0.01372107, -0.        ,  0.99990586,  0.08267833],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52284882, -0.85240098, -0.00645573, -0.05741687],
       [ 0.85233601,  0.52288867, -0.01052397,  0.28133031],
       [ 0.01234627,  0.        ,  0.99992378,  0.08606744],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68957177, -0.72420745,  0.00378828, -0.02708747],
       [ 0.72419652, -0.68958217, -0.0039785 ,  0.3243178 ],
       [ 0.00549359, -0.        ,  0.99998491,  0.0856153 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68957177, -0.72420745,  0.00378828, -0.02708747],
       [ 0.72419652, -0.68958217, -0.0039785 ,  0.3243178 ],
       [ 0.00549359, -0.        ,  0.99998491,  0.0856153 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.74965183, -0.66104992, -0.03217354, -0.11392424],
       [ 0.66044195, -0.75034193,  0.02834483,  0.26791796],
       [-0.0428785 ,  0.        ,  0.99908029,  0.08500248],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56378355, -0.82588202,  0.00818553, -0.15818879],
       [ 0.82579498,  0.56384297,  0.01198965,  0.32351001],
       [-0.01451739, -0.        ,  0.99989462,  0.08270765],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56378355, -0.82588202,  0.00818553, -0.15818879],
       [ 0.82579498,  0.56384297,  0.01198965,  0.32351001],
       [-0.01451739, -0.        ,  0.99989462,  0.08270765],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52472564, -0.8512573 , -0.0048998 , -0.05743276],
       [ 0.85122019,  0.52474852, -0.00794855,  0.28129981],
       [ 0.00933743,  0.        ,  0.99995641,  0.08618884],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68847085, -0.72525343,  0.00391879, -0.02696486],
       [ 0.72524168, -0.688482  , -0.00412809,  0.32427069],
       [ 0.00569192, -0.        ,  0.9999838 ,  0.085641  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68847085, -0.72525343,  0.00391879, -0.02696486],
       [ 0.72524168, -0.688482  , -0.00412809,  0.32427069],
       [ 0.00569192, -0.        ,  0.9999838 ,  0.085641  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.75038974, -0.66019731, -0.03247709, -0.11392601],
       [ 0.65957984, -0.75109222,  0.02854681,  0.26790074],
       [-0.04323982,  0.        ,  0.99906472,  0.08501757],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56205351, -0.82706569,  0.00762839, -0.1582471 ],
       [ 0.82698952,  0.56210528,  0.0112242 ,  0.32341221],
       [-0.01357111, -0.        ,  0.99990791,  0.08268056],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56205351, -0.82706569,  0.00762839, -0.1582471 ],
       [ 0.82698952,  0.56210528,  0.0112242 ,  0.32341221],
       [-0.01357111, -0.        ,  0.99990791,  0.08268056],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.523837  , -0.85177948, -0.00815523, -0.05745749],
       [ 0.85167628,  0.52390048, -0.01325912,  0.28127607],
       [ 0.01556638,  0.        ,  0.99987884,  0.08595731],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68967874, -0.72410558,  0.00378807, -0.02701667],
       [ 0.72409465, -0.68968914, -0.0039771 ,  0.32429556],
       [ 0.00549244, -0.        ,  0.99998492,  0.08565134],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68967874, -0.72410558,  0.00378807, -0.02701667],
       [ 0.72409465, -0.68968914, -0.0039771 ,  0.32429556],
       [ 0.00549244, -0.        ,  0.99998492,  0.08565134],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.75079894, -0.6597311 , -0.0324935 , -0.11392654],
       [ 0.65911412, -0.75150175,  0.02852551,  0.26789351],
       [-0.04323809,  0.        ,  0.9990648 ,  0.08502053],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56154662, -0.82740871,  0.00776015, -0.15829652],
       [ 0.82732972,  0.56160023,  0.01143307,  0.32338112],
       [-0.01381793, -0.        ,  0.99990453,  0.08269741],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56154662, -0.82740871,  0.00776015, -0.15829652],
       [ 0.82732972,  0.56160023,  0.01143307,  0.32338112],
       [-0.01381793, -0.        ,  0.99990453,  0.08269741],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52301121, -0.85226865, -0.00987076, -0.05738534],
       [ 0.8521169 ,  0.52310435, -0.01608195,  0.28137313],
       [ 0.01886957,  0.        ,  0.99982195,  0.08582332],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68978141, -0.72400849,  0.00364988, -0.02705907],
       [ 0.72399835, -0.68979106, -0.00383093,  0.32430023],
       [ 0.00529128, -0.        ,  0.999986  ,  0.08561174],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68978141, -0.72400849,  0.00364988, -0.02705907],
       [ 0.72399835, -0.68979106, -0.00383093,  0.32430023],
       [ 0.00529128, -0.        ,  0.999986  ,  0.08561174],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
10,"[array([[-0.75042078, -0.66018332, -0.03204132, -0.11391416],
       [ 0.65958235, -0.75110451,  0.02816271,  0.26789854],
       [-0.04265893,  0.        ,  0.99908969,  0.08500556],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56286213, -0.8265123 ,  0.00797732, -0.15823732],
       [ 0.82642931,  0.56291866,  0.0117128 ,  0.32342568],
       [-0.01417135, -0.        ,  0.99989958,  0.08270865],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56286213, -0.8265123 ,  0.00797732, -0.15823732],
       [ 0.82642931,  0.56291866,  0.0117128 ,  0.32342568],
       [-0.01417135, -0.        ,  0.99989958,  0.08270865],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52394884, -0.85168885, -0.01018421, -0.05736919],
       [ 0.851528  ,  0.52404781, -0.0165515 ,  0.2813817 ],
       [ 0.01943374,  0.        ,  0.99981115,  0.08580168],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68942474, -0.72434514,  0.00420203, -0.02699304],
       [ 0.72433168, -0.68943754, -0.00441478,  0.32427249],
       [ 0.00609486, -0.        ,  0.99998143,  0.08562418],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68942474, -0.72434514,  0.00420203, -0.02699304],
       [ 0.72433168, -0.68943754, -0.00441478,  0.32427249],
       [ 0.00609486, -0.        ,  0.99998143,  0.08562418],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
11,"[array([[-0.74828419, -0.66261862, -0.03173857, -0.11390572],
       [ 0.66202339, -0.74895698,  0.02807981,  0.26796429],
       [-0.04237703,  0.        ,  0.99910169,  0.08498625],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.5639769 , -0.82574883,  0.00830156, -0.15802134],
       [ 0.82565939,  0.564038  ,  0.01215344,  0.3236432 ],
       [-0.01471808, -0.        ,  0.99989168,  0.08266103],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.5639769 , -0.82574883,  0.00830156, -0.15802134],
       [ 0.82565939,  0.564038  ,  0.01215344,  0.3236432 ],
       [-0.01471808, -0.        ,  0.99989168,  0.08266103],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52674581, -0.85000073, -0.00613289, -0.05736786],
       [ 0.84994312,  0.52678151, -0.00989587,  0.28138846],
       [ 0.01164219,  0.        ,  0.99993223,  0.08606221],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68415208, -0.72932989,  0.00372059, -0.02691725],
       [ 0.72931911, -0.6841622 , -0.00396622,  0.32422742],
       [ 0.00543817, -0.        ,  0.99998521,  0.08551407],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.68415208, -0.72932989,  0.00372059, -0.02691725],
       [ 0.72931911, -0.6841622 , -0.00396622,  0.32422742],
       [ 0.00543817, -0.        ,  0.99998521,  0.08551407],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
12,"[array([[-0.75616386, -0.65363132, -0.03134191, -0.11381699],
       [ 0.65307057, -0.75681312,  0.02706884,  0.26785847],
       [-0.04141301,  0.        ,  0.99914211,  0.08503665],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.54768129, -0.83665202,  0.00765475, -0.1585872 ],
       [ 0.83657032,  0.54773478,  0.01169245,  0.32295487],
       [-0.01397528, -0.        ,  0.99990234,  0.08278041],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.54768129, -0.83665202,  0.00765475, -0.1585872 ],
       [ 0.83657032,  0.54773478,  0.01169245,  0.32295487],
       [-0.01397528, -0.        ,  0.99990234,  0.08278041],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.53409008, -0.84537616, -0.00932405, -0.05733033],
       [ 0.84524736,  0.53417147, -0.01475618,  0.28150523],
       [ 0.01745516,  0.        ,  0.99984765,  0.085851  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.66672753, -0.74529649,  0.00274628, -0.02683189],
       [ 0.74529017, -0.66673319, -0.00306989,  0.32410719],
       [ 0.00411901, -0.        ,  0.99999152,  0.08552502],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.66672753, -0.74529649,  0.00274628, -0.02683189],
       [ 0.74529017, -0.66673319, -0.00306989,  0.32410719],
       [ 0.00411901, -0.        ,  0.99999152,  0.08552502],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
13,"[array([[-0.76006722, -0.64913574, -0.03034171, -0.11379141],
       [ 0.64861913, -0.7606726 ,  0.02589273,  0.26778728],
       [-0.03988801,  0.        ,  0.99920416,  0.08502049],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.54007369, -0.84158365,  0.00757439, -0.15897047],
       [ 0.84150089,  0.54012681,  0.01180182,  0.32259684],
       [-0.01402335, -0.        ,  0.99990167,  0.08284794],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.54007369, -0.84158365,  0.00757439, -0.15897047],
       [ 0.84150089,  0.54012681,  0.01180182,  0.32259684],
       [-0.01402335, -0.        ,  0.99990167,  0.08284794],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.5426744 , -0.83989281, -0.00919576, -0.05728596],
       [ 0.83977225,  0.5427523 , -0.01423016,  0.28151103],
       [ 0.01694283,  0.        ,  0.99985646,  0.08596848],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-6.65678249e-01, -7.46238791e-01,  3.67768492e-04,
        -2.59452151e-02],
       [ 7.46238677e-01, -6.65678351e-01, -4.12275860e-04,
         3.23971533e-01],
       [ 5.52471763e-04, -0.00000000e+00,  9.99999847e-01,
         8.58624314e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[-6.65678249e-01, -7.46238791e-01,  3.67768492e-04,
        -2.59452151e-02],
       [ 7.46238677e-01, -6.65678351e-01, -4.12275860e-04,
         3.23971533e-01],
       [ 5.52471763e-04, -0.00000000e+00,  9.99999847e-01,
         8.58624314e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
14,"[array([[-0.76134103, -0.64747851, -0.0336365 , -0.11376903],
       [ 0.64684752, -0.76208371,  0.0285781 ,  0.26778891],
       [-0.04413753,  0.        ,  0.99902546,  0.08511468],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.53869519, -0.84246164,  0.00811707, -0.15905758],
       [ 0.84236601,  0.53875634,  0.01269278,  0.32252516],
       [-0.0150663 , -0.        ,  0.9998865 ,  0.08288711],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.53869519, -0.84246164,  0.00811707, -0.15905758],
       [ 0.84236601,  0.53875634,  0.01269278,  0.32252516],
       [-0.0150663 , -0.        ,  0.9998865 ,  0.08288711],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.54411772, -0.83893474, -0.01115379, -0.05725178],
       [ 0.83875854,  0.54423203, -0.01719359,  0.28159387],
       [ 0.02049455,  0.        ,  0.99978996,  0.08585192],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.64972961, -0.76016151,  0.00243268, -0.02652882],
       [ 0.76015618, -0.64973416, -0.00284614,  0.32374719],
       [ 0.00374412, -0.        ,  0.99999299,  0.08578094],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.64972961, -0.76016151,  0.00243268, -0.02652882],
       [ 0.76015618, -0.64973416, -0.00284614,  0.32374719],
       [ 0.00374412, -0.        ,  0.99999299,  0.08578094],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
15,"[array([[-0.76923131, -0.63819486, -0.0314723 , -0.11368369],
       [ 0.63766138, -0.76987487,  0.02608925,  0.26772706],
       [-0.04087976,  0.        ,  0.99916407,  0.08503571],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.524013  , -0.85167717,  0.00750837, -0.15960816],
       [ 0.85158976,  0.52406678,  0.01220208,  0.32185475],
       [-0.01432712, -0.        ,  0.99989736,  0.0828856 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.524013  , -0.85167717,  0.00750837, -0.15960816],
       [ 0.85158976,  0.52406678,  0.01220208,  0.32185475],
       [-0.01432712, -0.        ,  0.99989736,  0.0828856 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.54575031, -0.83787226, -0.01125479, -0.05723092],
       [ 0.83769415,  0.54586635, -0.01727543,  0.28158921],
       [ 0.02061822,  0.        ,  0.99978742,  0.08588115],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.66282361, -0.74877408,  0.0014983 , -0.02578385],
       [ 0.74877216, -0.6628253 , -0.00169259,  0.3238782 ],
       [ 0.00226048, -0.        ,  0.99999745,  0.08595012],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.66282361, -0.74877408,  0.0014983 , -0.02578385],
       [ 0.74877216, -0.6628253 , -0.00169259,  0.3238782 ],
       [ 0.00226048, -0.        ,  0.99999745,  0.08595012],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
16,"[array([[-0.77120859, -0.63593621, -0.0286784 , -0.1136687 ],
       [ 0.63549697, -0.77174163,  0.02363179,  0.26770331],
       [-0.03716063,  0.        ,  0.99930931,  0.0849554 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52025618, -0.85397859,  0.00735326, -0.15978305],
       [ 0.85389331,  0.52030814,  0.01206886,  0.32168258],
       [-0.01413251, -0.        ,  0.99990013,  0.08288341],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52025618, -0.85397859,  0.00735326, -0.15978305],
       [ 0.85389331,  0.52030814,  0.01206886,  0.32168258],
       [-0.01413251, -0.        ,  0.99990013,  0.08288341],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.54891541, -0.83586173, -0.00519936, -0.05727998],
       [ 0.83582424,  0.54894004, -0.00791697,  0.28149938],
       [ 0.00947163,  0.        ,  0.99995514,  0.08634184],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.66003384, -0.75123432,  0.00152474, -0.0255914 ],
       [ 0.75123231, -0.66003561, -0.00173542,  0.32379732],
       [ 0.00231009, -0.        ,  0.99999733,  0.08602254],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.66003384, -0.75123432,  0.00152474, -0.0255914 ],
       [ 0.75123231, -0.66003561, -0.00173542,  0.32379732],
       [ 0.00231009, -0.        ,  0.99999733,  0.08602254],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
17,"[array([[-0.78263876, -0.62199433, -0.02448736, -0.11350008],
       [ 0.6216901 , -0.78302175,  0.01945156,  0.26765927],
       [-0.0312729 ,  0.        ,  0.99951088,  0.08483951],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.50566589, -0.86269722,  0.00745077, -0.16051831],
       [ 0.86260358,  0.50572078,  0.0127101 ,  0.32088195],
       [-0.01473298, -0.        ,  0.99989146,  0.08287651],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.50566589, -0.86269722,  0.00745077, -0.16051831],
       [ 0.86260358,  0.50572078,  0.0127101 ,  0.32088195],
       [-0.01473298, -0.        ,  0.99989146,  0.08287651],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56286083, -0.82640089, -0.01578778, -0.05703339],
       [ 0.82607599,  0.5630822 , -0.02317074,  0.28180725],
       [ 0.02803814,  0.        ,  0.99960685,  0.08577095],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.64722965, -0.76229127,  0.0024064 , -0.0247136 ],
       [ 0.762286  , -0.64723413, -0.00283418,  0.32340384],
       [ 0.00371798, -0.        ,  0.99999309,  0.08628177],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.64722965, -0.76229127,  0.0024064 , -0.0247136 ],
       [ 0.762286  , -0.64723413, -0.00283418,  0.32340384],
       [ 0.00371798, -0.        ,  0.99999309,  0.08628177],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
